Customer ID,Recency,Frequency,Monetary,Ulke,Ort_Sepet_Buyuklugu,Ort_Urun_Fiyati,Segment,Onerilen_Kampanya
12346,326,12,77556.46,United Kingdom,2184.8529411764707,6.1000000000000005,Kaybedilme Riski (Değerli),Yüksek İndirim / Kişisel Teklif
12347,2,8,4921.53,Iceland,13.364864864864865,2.4980630630630634,Sadık Müşteri,Sadakat Programı / Erken Erişim
12348,75,5,1658.4,Finland,58.78260869565217,0.6978260869565218,Orta Segment,Çapraz Satış Önerisi
12349,19,3,3678.69,Italy,9.424418604651162,4.246744186046512,Orta Segment,Çapraz Satış Önerisi
12350,310,1,294.4,Norway,12.25,1.58125,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12351,375,1,300.93,Unspecified,12.428571428571429,2.355238095238095,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12352,36,9,1729.54,Norway,7.515789473684211,3.878,Sadık Müşteri,Sadakat Programı / Erken Erişim
12353,204,2,406.76,Bahrain,8.833333333333334,2.6283333333333334,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12354,232,1,1079.4,Spain,9.137931034482758,4.5037931034482765,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12355,214,2,947.61,Bahrain,15.514285714285714,3.069428571428572,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12356,23,6,5611.73,Portugal,24.287769784172664,2.764748201438849,Sadık Müşteri,Sadakat Programı / Erken Erişim
12357,33,2,17437.66,Switzerland,22.325423728813558,3.33664406779661,Yeni / Potansiyel Müşteri,Hoş Geldin Kampanyası
12358,2,5,3447.07,Austria,14.432432432432432,3.9640540540540536,Sadık Müşteri,Sadakat Programı / Erken Erişim
12359,58,10,8873.39,Cyprus,7.566298342541437,7.393646408839779,Sadık Müşteri,Sadakat Programı / Erken Erişim
12360,52,6,3612.89,Austria,11.578199052132701,2.16175355450237,Sadık Müşteri,Sadakat Programı / Erken Erişim
12361,287,4,451.25,Belgium,9.24,2.09,Orta Segment,Çapraz Satış Önerisi
12362,3,10,4737.23,Belgium,8.58203125,3.4972265625,Sadık Müşteri,Sadakat Programı / Erken Erişim
12363,110,2,552.0,Unspecified,17.73913043478261,2.3117391304347827,Orta Segment,Çapraz Satış Önerisi
12364,8,4,1208.1,Belgium,18.506172839506174,1.2638271604938272,Orta Segment,Çapraz Satış Önerisi
12365,291,1,320.69,Cyprus,8.238095238095237,2.6961904761904765,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12366,634,1,500.24,Cyprus,98.66666666666667,1.6900000000000002,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12367,4,1,150.9,Denmark,17.2,1.72,Yeni / Potansiyel Müşteri,Hoş Geldin Kampanyası
12368,628,1,917.7,Cyprus,18.333333333333332,4.391666666666667,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12369,413,3,1511.15,Austria,13.71111111111111,1.9205555555555556,Orta Segment,Çapraz Satış Önerisi
12370,51,7,3956.56,Cyprus,13.17258883248731,2.681522842639594,Sadık Müşteri,Sadakat Programı / Erken Erişim
12371,60,4,3347.38,Switzerland,8.699386503067485,3.1038650306748465,Orta Segment,Çapraz Satış Önerisi
12372,72,3,1196.04,Denmark,16.081632653061224,2.1442857142857146,Orta Segment,Çapraz Satış Önerisi
12373,311,3,927.65,Austria,10.645833333333334,2.4166666666666665,Orta Segment,Çapraz Satış Önerisi
12374,25,3,2669.22,Austria,16.71604938271605,2.57679012345679,Orta Segment,Çapraz Satış Önerisi
12375,11,2,377.5,Finland,11.733333333333333,2.5013333333333336,Yeni / Potansiyel Müşteri,Hoş Geldin Kampanyası
12376,390,2,383.15,Switzerland,21.545454545454547,2.2181818181818183,Pasif/Kaybedilmiş,Geri Kazanma Kampanyası
12377,315,4,3266.32,Switzerland,14.006666666666666,2.2434666666666665,Orta Segment,Çapraz Satış Önerisi
12378,130,2,5416.32,Switzerland,11.016611295681063,3.380099667774086,Orta Segment,Çapraz Satış Önerisi
